route,id,name,lat,lon,type,altitude,height,width
Alfa,1,Través Americana,-22.663611112,-47.3177777779999,Node,1322.1928609156346,240.79199229465627,5556.0
Alfa,2,Alfa_GN_1,-22.692700000000002,-47.333600000000004,Node,1322.1928609156346,240.79199229465627,5556.0
Alfa,3,Alfa_GN_2,-22.96665,-47.48285,Node,1322.1928609156346,240.79199229465627,5556.0
Alfa,4,Capivari,-22.9961111119999,-47.4988888889999,Node,1322.1928609156346,240.79199229465627,5556.0
Alfa_2,1,Capivari,-22.9961111119999,-47.4988888889999,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_2,2,Alfa_2_GN_1,-23.055950000000003,-47.484899999999996,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_2,3,Alfa_2_GN_2,-23.20385,-47.45025,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_2,4,Rondon,-23.231111112,-47.4438888889999,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_3,1,Rondon,-23.231111112,-47.4438888889999,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_3,2,Alfa_3_GN_1,-23.25845,-47.43729999999999,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_3,3,Alfa_3_GN_2,-23.41285,-47.413,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_3,4,Éden,-23.410000001,-47.400833333,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_4,1,Éden,-23.410000001,-47.400833333,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_4,2,Alfa_4_GN_1,-23.50515,-47.3792,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_4,3,Tobias,-23.526111112,-47.3744444439999,Node,1097.2799648870412,243.8399921971204,5556.0
Alfa_5,1,Tobias,-23.526111112,-47.3744444439999,Node,1097.2799648870412,240.79199229465627,5556.0
Alfa_5,2,Represa Alumínio,-23.595000001,-47.2472222219999,Node,1097.2799648870412,240.79199229465627,5556.0
Alfa_6,1,Represa Alumínio,-23.595000001,-47.2472222219999,Node,1386.8399556211214,274.31999122176035,5556.0
Alfa_6,2,Alfa_6_GN_1,-23.65775,-47.130750000000006,Node,1386.8399556211214,274.31999122176035,5556.0
Alfa_6,3,Furnas,-23.670833334,-47.106388889,Node,1386.8399556211214,274.31999122176035,5556.0
Alfa_7,1,Furnas,-23.670833334,-47.106388889,Node,1676.3999463552018,240.79199229465627,5556.0
Alfa_7,2,Alfa_7_GN_1,-23.683999999999997,-47.081900000000005,Node,1676.3999463552018,240.79199229465627,5556.0
Alfa_7,3,Alfa_7_GN_2,-23.808349999999997,-46.85115,Node,1676.3999463552018,240.79199229465627,5556.0
Alfa_7,4,Embu-guaçu,-23.829166667,-46.8124999999999,Node,1676.3999463552018,240.79199229465627,5556.0
Alfa_8,1,Embu-guaçu,-23.829166667,-46.8124999999999,Node,1310.6399580595214,121.9199960985602,5556.0
Alfa_8,2,Alfa_8_GN_1,-23.83495,-46.79,Node,1310.6399580595214,121.9199960985602,5556.0
Alfa_8,3,Alfa_8_GN_2,-23.886650000000003,-46.5891,Node,1310.6399580595214,121.9199960985602,5556.0
Alfa_8,4,Interligação,-23.893055556,-46.5641666669999,Node,1310.6399580595214,121.9199960985602,5556.0
Bravo,1,Limeira,-22.599166667,-47.3099999999999,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo,2,Bravo_GN_1,-22.6233,-47.23535,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo,3,Cosmópolis,-22.638055556,-47.1897222219999,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_2,1,Cosmópolis,-22.638055556,-47.1897222219999,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_2,2,Bravo_2_GN_1,-22.639049999999997,-47.1866,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_2,3,Jaguariúna,-22.709166667,-46.97,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_3,1,Jaguariúna,-22.709166667,-46.97,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_3,2,Bravo_3_GN_1,-22.8611,-46.811049999999994,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_3,3,Morungaba,-22.8775000009999,-46.793888889,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_4,1,Morungaba,-22.8775000009999,-46.793888889,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_4,2,Bravo_4_GN_1,-22.9085,-46.76265,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_4,3,Bravo_4_GN_2,-23.076,-46.593900000000005,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_4,4,Atibaia,-23.100277778,-46.5694444439999,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_5,1,Atibaia,-23.100277778,-46.5694444439999,Node,1463.0399531827215,240.79199229465627,5556.0
Bravo_5,2,Bravo_5_GN_1,-23.134050000000002,-46.43825,Node,1463.0399531827215,240.79199229465627,5556.0
Bravo_5,3,Igaratá,-23.205833334,-46.159166667,Node,1463.0399531827215,240.79199229465627,5556.0
Bravo_6,1,Igaratá,-23.205833334,-46.159166667,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_6,2,Bravo_6_GN_1,-23.401850000000003,-46.04425,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_6,3,Guararema,-23.41388889,-46.037222222,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_7,1,Guararema,-23.41388889,-46.037222222,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_7,2,Bravo_7_GN_1,-23.42005,-46.02705,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_7,3,Bravo_7_GN_2,-23.508200000000002,-45.8827,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_7,4,Salesópolis,-23.530555556,-45.846111111,Node,1322.1928609156346,240.79199229465627,5556.0
Bravo_8,1,Salesópolis,-23.530555556,-45.846111111,Node,1280.1599590348812,240.79199229465627,5556.0
Bravo_8,2,Bravo_8_GN_1,-23.5571,-45.8412,Node,1280.1599590348812,240.79199229465627,5556.0
